theta,Or,radio_mayor,TSR,Cp
90,0.3,140,0.7,0.0271
65,0.2,140,0.4,0.0725
40,0.3,140,0.1,0.0308
90,0.2,170,0.2,0.0558
65,0.2,200,0.5,0.094
40,0.2,200,0.8,0.0682
90,0.1,140,0.8,0.0161
90,0.3,140,0.1,0.0299
90,0.2,170,0.7,0.0416
90,0.1,200,0.6,0.075
90,0.1,140,0.2,0.0526
40,0.2,170,0.5,0.0954
